date,ccy,term,rate,direction,pnl,close_date
2020-02-03,chf,5Y1Y,-0.4307307989527638,-1,89149.72490286772,2020-03-02
2020-02-03,chf,5Y2Y,-0.37819389520732954,-1,92722.92566678849,2020-03-02
2020-02-03,chf,9Y1Y,-0.029501442872779053,-1,113554.08321341057,2020-03-02
2020-02-03,chf,1Y3Y,-0.7285009648860508,1,-84953.48428522986,2020-03-02
2020-02-03,chf,1Y2Y,-0.7675228040233162,1,-80924.20607134954,2020-03-02
2020-02-03,chf,1Y1Y,-0.7949462022456625,1,-83546.3526217925,2020-03-02
2020-03-02,chf,4Y1Y,-0.7150514495119306,-1,-163183.37555844785,2020-04-01
2020-03-02,chf,4Y2Y,-0.6566853151932547,-1,-170424.52019539304,2020-04-01
2020-03-02,chf,5Y1Y,-0.5989138701569929,-1,-177672.10617980023,2020-04-01
2020-03-02,chf,1Y3Y,-0.8948438842650025,1,138758.02391906222,2020-04-01
2020-03-02,chf,1Y2Y,-0.9265071316463482,1,129866.53488084042,2020-04-01
2020-03-02,chf,1Y1Y,-0.9618342881855656,1,124620.47945830286,2020-04-01
2020-04-01,chf,5Y1Y,-0.23154128178006292,-1,64525.20601359231,2020-05-04
2020-04-01,chf,4Y2Y,-0.30423304318614997,-1,70765.14710012235,2020-05-04
2020-04-01,chf,4Y1Y,-0.37738630674678914,-1,77172.57003920183,2020-05-04
2020-04-01,chf,8Y2Y,0.07566678479786904,1,-64225.60859813179,2020-05-04
2020-04-01,chf,2Y1Y,-0.6160613958450614,1,-52491.287236542616,2020-05-04
2020-04-01,chf,8Y1Y,0.034152391818828,1,-39649.37309823988,2020-05-04
2020-05-04,chf,5Y1Y,-0.34532393947224277,-1,-2451.634217817966,2020-06-02
2020-05-04,chf,4Y2Y,-0.43308848246126447,-1,-11764.006177975767,2020-06-02
2020-05-04,chf,5Y2Y,-0.29403347701574534,-1,-8391.749362721219,2020-06-02
2020-05-04,chf,8Y2Y,-0.050887964739014066,1,18210.68772242772,2020-06-02
