name,term,rate,rolled_rate,roll,date
eur 11Y5Y,11Y5Y,1.935674248,1.944210944,-0.008536695,01/08/2022
eur 11Y6Y,11Y6Y,1.870841367,1.878039393,-0.007198026,01/08/2022
eur 11Y7Y,11Y7Y,1.824211459,1.830442042,-0.006230583,01/08/2022
eur 11Y8Y,11Y8Y,1.789307327,1.794811391,-0.005504065,01/08/2022
eur 11Y9Y,11Y9Y,1.762141127,1.767078932,-0.004937805,01/08/2022
eur 11Y10Y,11Y10Y,1.71095118,1.717917093,-0.006965913,01/08/2022
eur 11Y11Y,11Y11Y,1.669305341,1.675702107,-0.006396766,01/08/2022
eur 11Y12Y,11Y12Y,1.634423732,1.6403415,-0.005917768,01/08/2022
eur 11Y13Y,11Y13Y,1.604857734,1.610367877,-0.005510143,01/08/2022
eur 11Y14Y,11Y14Y,1.579479987,1.584639149,-0.005159161,01/08/2022
eur 11Y15Y,11Y15Y,1.549257733,1.554788386,-0.005530652,01/08/2022
eur 11Y16Y,11Y16Y,1.523051688,1.528280677,-0.005228988,01/08/2022
eur 11Y17Y,11Y17Y,1.499880372,1.504841656,-0.004961283,01/08/2022
eur 11Y18Y,11Y18Y,1.479194182,1.483915689,-0.004721507,01/08/2022
eur 11Y19Y,11Y19Y,1.460614989,1.465120562,-0.004505573,01/08/2022
eur 12Y1Y,12Y1Y,2.000050622,2.010773207,-0.010722586,01/08/2022
eur 12Y2Y,12Y2Y,2.000077974,2.005486189,-0.005408215,01/08/2022
eur 12Y3Y,12Y3Y,2.000105169,2.00374192,-0.003636751,01/08/2022
eur 12Y4Y,12Y4Y,1.885679234,1.898188009,-0.012508775,01/08/2022
eur 12Y5Y,12Y5Y,1.816758689,1.826874251,-0.010115562,01/08/2022
eur 12Y6Y,12Y6Y,1.770506347,1.779010857,-0.008504509,01/08/2022
eur 12Y7Y,12Y7Y,1.737543493,1.744897739,-0.007354246,01/08/2022
eur 12Y8Y,12Y8Y,1.712809576,1.719300057,-0.006490482,01/08/2022
eur 12Y9Y,12Y9Y,1.660592092,1.669189341,-0.008597249,01/08/2022
eur 12Y10Y,12Y10Y,1.619064534,1.626874422,-0.007809888,01/08/2022
eur 12Y11Y,12Y11Y,1.584921198,1.592081488,-0.00716029,01/08/2022
eur 12Y12Y,12Y12Y,1.556425576,1.563042194,-0.006616618,01/08/2022
eur 12Y13Y,12Y13Y,1.532285003,1.538440037,-0.006155034,01/08/2022
eur 12Y14Y,12Y14Y,1.502737265,1.509225754,-0.006488488,01/08/2022
eur 12Y15Y,12Y15Y,1.47736504,1.483468978,-0.006103938,01/08/2022
eur 12Y16Y,12Y16Y,1.455121249,1.460887147,-0.005765898,01/08/2022
eur 12Y17Y,12Y17Y,1.435412261,1.440877922,-0.00546566,01/08/2022
eur 12Y18Y,12Y18Y,1.417829418,1.423026703,-0.005197285,01/08/2022
eur 13Y1Y,13Y1Y,2.000105809,2.000105809,-2.22E-14,01/08/2022
eur 13Y2Y,13Y2Y,2.000133165,2.000133165,1.78E-10,01/08/2022
eur 13Y3Y,13Y3Y,1.846127656,1.859248887,-0.013121231,01/08/2022
eur 13Y4Y,13Y4Y,1.768784584,1.778731691,-0.009947107,01/08/2022
eur 13Y5Y,13Y5Y,1.722083363,1.730108336,-0.008024973,01/08/2022
eur 13Y6Y,13Y6Y,1.691029764,1.697774751,-0.006744987,01/08/2022
eur 13Y7Y,13Y7Y,1.668842304,1.674672244,-0.00582994,01/08/2022
eur 13Y8Y,13Y8Y,1.614821191,1.623116633,-0.008295442,01/08/2022
eur 13Y9Y,13Y9Y,1.573062938,1.580504182,-0.007441244,01/08/2022
eur 13Y10Y,13Y10Y,1.539499149,1.546251622,-0.006752473,01/08/2022
eur 13Y11Y,13Y11Y,1.512002248,1.518189017,-0.00618677,01/08/2022
eur 13Y12Y,13Y12Y,1.489065133,1.494779099,-0.005713967,01/08/2022
eur 13Y13Y,13Y13Y,1.460075729,1.466181178,-0.006105449,01/08/2022
eur 13Y14Y,13Y14Y,1.4354611,1.441174408,-0.005713309,01/08/2022
eur 13Y15Y,13Y15Y,1.414089926,1.419461928,-0.005372001,01/08/2022
eur 13Y16Y,13Y16Y,1.395314727,1.40038622,-0.005071494,01/08/2022
eur 13Y17Y,13Y17Y,1.378690798,1.383495745,-0.004804947,01/08/2022
eur 14Y1Y,14Y1Y,2.000160999,2.000160999,2.13E-14,01/08/2022
eur 14Y2Y,14Y2Y,1.766870458,1.786730804,-0.019860346,01/08/2022
eur 14Y3Y,14Y3Y,1.688690261,1.702060997,-0.013370736,01/08/2022
eur 14Y4Y,14Y4Y,1.649380795,1.659483108,-0.010102313,01/08/2022
eur 14Y5Y,14Y5Y,1.625869308,1.634015946,-0.008146638,01/08/2022
eur 14Y6Y,14Y6Y,1.610195293,1.617037996,-0.006842703,01/08/2022
eur 14Y7Y,14Y7Y,1.555976063,1.565516522,-0.009540459,01/08/2022
eur 14Y8Y,14Y8Y,1.515574045,1.523993592,-0.008419548,01/08/2022
eur 14Y9Y,14Y9Y,1.484009515,1.491551335,-0.00754182,01/08/2022
eur 14Y10Y,14Y10Y,1.458731255,1.465568923,-0.006837667,01/08/2022
eur 14Y11Y,14Y11Y,1.43803275,1.444293095,-0.006260345,01/08/2022
eur 14Y12Y,14Y12Y,1.410363082,1.417005842,-0.00664276,01/08/2022
eur 14Y13Y,14Y13Y,1.387174809,1.393351721,-0.006176911,01/08/2022
eur 14Y14Y,14Y14Y,1.367266097,1.373042312,-0.005776215,01/08/2022
eur 14Y15Y,14Y15Y,1.349945019,1.355372046,-0.005427027,01/08/2022
eur 14Y16Y,14Y16Y,1.334739012,1.339859089,-0.005120078,01/08/2022
eur 15Y1Y,15Y1Y,1.528055408,1.568056499,-0.040001091,01/08/2022
eur 15Y2Y,15Y2Y,1.528055408,1.548209695,-0.020154286,01/08/2022
eur 15Y3Y,15Y3Y,1.528066017,1.541593621,-0.013527604,01/08/2022
eur 15Y4Y,15Y4Y,1.528079232,1.538291319,-0.010212087,01/08/2022
eur 15Y5Y,15Y5Y,1.527569718,1.536308001,-0.008738284,01/08/2022
eur 15Y6Y,15Y6Y,1.477525484,1.488723519,-0.011198034,01/08/2022
eur 15Y7Y,15Y7Y,1.441521592,1.451189182,-0.00966759,01/08/2022
eur 15Y8Y,15Y8Y,1.414566105,1.423086514,-0.008520409,01/08/2022
eur 15Y9Y,15Y9Y,1.393582239,1.40120874,-0.007626501,01/08/2022
eur 15Y10Y,15Y10Y,1.376568244,1.383610928,-0.007042684,01/08/2022
eur 15Y11Y,15Y11Y,1.351695235,1.358972308,-0.007277073,01/08/2022
