point,t1,t2,aud,cad,nok,eur,gbp,jpy,nzd,sek,usd
12y13y,12,25,4.355265943448512,3.5129428242378142,2.8764545178261756,2.330863488080214,3.8514466673857086,2.026884653739343,4.806067080675198,2.2142710670062407,3.544665368839469
12y14y,12,26,4.3226523182275285,3.4755722916912215,2.8429214687555144,2.3003830741032303,3.8379504657748145,2.020093397521281,4.798994546010314,2.1848552401544037,3.516456792339826
12y15y,12,27,4.291685593176186,3.4405873519096346,2.8101424112324236,2.271893026393324,3.8240358128613776,2.013057361373092,4.789307504770013,2.158914400794467,3.489810032110905
12y16y,12,28,4.262101359018352,3.4075152691718404,2.7778985926808266,2.244867525968151,3.8099885292935185,2.0062399262490915,4.778062370540489,2.135433791732072,3.464370871826251
12y17y,12,29,4.233707968879036,3.37598862719038,2.746004643001013,2.2188685297010826,3.796076029731737,2.000093459251212,4.766200161670684,2.1135518383523406,3.4398540154454635
12y18y,12,30,4.206366331348541,3.345716070933978,2.714299289180882,2.1935213726236706,3.782552450496182,1.9950623756401369,4.754578581437905,2.0925175879076727,3.416023939695365
13y1y,13,14,4.683664246377172,3.848229939490757,3.2461382864601247,2.74645042074336,3.9618919988007657,1.8858074097792756,4.788789402651997,2.6157427714409054,3.7857999246528924
13y2y,13,15,4.668681596903069,3.8420759316404935,3.208619833405775,2.714233406292512,3.9623102091150253,1.9229838118490061,4.801073802191983,2.5858110726546837,3.7809073271541553
13y3y,13,16,4.644980529107681,3.825571343834408,3.1707786097482127,2.6712905425374305,3.955118079994956,1.9602856342693222,4.805689731709839,2.548991072855299,3.7695337980431716
13y4y,13,17,4.6160789482984725,3.8021576529208025,3.132714647050098,2.6239294736178014,3.9444030875165623,1.9940586753088876,4.807117766614691,2.508372637238043,3.753674142757921
13y5y,13,18,4.5837890985852185,3.7733814458300032,3.0945827745679564,2.5754626858991285,3.932181960859778,2.0222887119976987,4.807613868488439,2.465600630608055,3.7340830973817027
13y6y,13,19,4.549053900135804,3.7398233605366387,3.056565833180973,2.5276761690212908,3.919415944910927,2.043797197488347,4.808300031904287,2.4215833324369958,3.710883162250954
13y7y,13,20,4.512567959402007,3.7017878614063435,3.018854766083526,2.481920340396013,3.9067647566877963,2.0576443716588533,4.809974239964677,2.3770186819261454,3.6840161306345367
13y8y,13,21,4.474970471191226,3.6598399539161885,2.981621746299145,2.439083622866412,3.894584670635254,2.063599876847447,4.8128695386454705,2.332635142319714,3.653715955153132
13y9y,13,22,4.436989146473208,3.61575523042805,2.9449648506856283,2.39895020073229,3.882524882605446,2.0636110622361916,4.815635385414399,2.2895033444256545,3.6214283721309313
13y10y,13,23,4.399325956080633,3.5712350947053926,2.9089860003270913,2.361310349633617,3.87023649106495,2.059555622954253,4.816957304458155,2.2486612041655434,3.588533212003417
13y11y,13,24,4.362644260616797,3.5277011691992723,2.8738036617661025,2.326154553747416,3.857496918899371,2.0528651414957535,4.815832275454308,2.211057012101761,3.5561375864231457
13y12y,13,25,4.327585049137652,3.4864121692412144,2.8395459927922353,2.2935901584749048,3.844157271390075,2.044710986518771,4.811438935461362,2.1775868666084457,3.52518960142282
13y13y,13,26,4.294591983077429,3.4482077999600085,2.8062725957187498,2.2636322764693304,3.8301836231933923,2.0360260696085932,4.803409140069474,2.1487301454139907,3.496309270378331
13y14y,13,27,4.263417658747426,3.412678542460538,2.7737699535894937,2.235732282325423,3.8158298409705265,2.0273494114435837,4.792714839164925,2.1235167528669447,3.4691982788445936
13y15y,13,28,4.233745671274321,3.379262241503496,2.7418013776439856,2.209315798143099,3.8013931366241995,2.019124677306617,4.780492873693773,2.1008306130622234,3.4434372914253824
13y16y,13,29,4.205349924735299,3.347530998627466,2.7101701320489857,2.183913847598405,3.78714831788164,2.0117887591802748,4.767737370322524,2.0797437362631253,3.4186964802958513
13y17y,13,30,4.1780680758291115,3.3171516819185065,2.6787076698248486,2.1591318390518905,3.773354393505764,2.005773770655074,4.755341743684768,2.059460888856372,3.3947091962751363
14y1y,14,15,4.65369894742897,3.8359219237902433,3.17110138035143,2.682016391841663,3.962728419429276,1.9601602139187464,4.813358201731975,2.5558793738684664,3.7760147296554156
14y2y,14,16,4.625638670472934,3.814242046006238,3.133098771392269,2.63371060343446,3.9517311205920564,1.9975247465143433,4.814139896238758,2.515615223562504,3.7614007347383063
14y3y,14,17,4.59355051560558,3.786800224064156,3.094906767246758,2.5830891579092796,3.938573450421827,2.030142430485426,4.81322722126892,2.4725825925037634,3.7429655487929376
14y4y,14,18,4.558820311637234,3.7546693224148173,3.056693896594913,2.532715752188071,3.924754451374529,2.056409037552305,4.812319984947546,2.4280650953998473,3.721153890563903
14y5y,14,19,4.522131830887531,3.718142044745816,3.018651342525145,2.483921318676878,3.91092073413296,2.0753951550301633,4.812202157754743,2.3827514446362152,3.695899809770567
14y6y,14,20,4.484051911572813,3.6773808483922763,2.9809741793540923,2.4378319936714536,3.8975768830023036,2.086283865305449,4.813505046183454,2.3372313336736865,3.667052164964809
14y7y,14,21,4.445157074736094,3.6329270988341102,2.94383366913329,2.3951740803125605,3.8849693380401793,2.088998800714329,4.81630955807311,2.292191195302404,3.634846816653166
14y8y,14,22,4.406154758985213,3.5866958917952134,2.907318171213817,2.3555126732309057,3.87260399308103,2.0858365187933052,4.818991133259699,2.248723416048749,3.6008819280656863
14y9y,14,23,4.367732812714352,3.5404578897292427,2.8715246352011996,2.318517008399201,3.86005254576097,2.078860979973695,4.8200870713255055,2.2078743633571714,3.5666146883756986
14y10y,14,24,4.330542262040761,3.4956482921701255,2.836570199296701,2.2841249670478216,3.847057410909231,2.069570914667402,4.818536562734537,2.170588436167848,3.533171352600172
14y11y,14,25,4.29521421302497,3.4535196446730745,2.8025830570042465,2.2524210437232273,3.83345411435274,2.059156766222361,4.813497983898576,2.137754511623676,3.5014977538564502
14y12y,14,26,4.262169294469118,3.41487262166578,2.769617121490303,2.223397431113161,3.8192079252261113,2.0485442912610363,4.80462745152093,2.1098124265784146,3.4721850491887842
14y13y,14,27,4.231090998160524,3.3791745888428286,2.7374339279840614,2.196446271677889,3.8045942903682004,2.0382372577254535,4.7930167958197645,2.085653212976641,3.44484430609011
14y14y,14,28,4.201608630195547,3.3457645487901213,2.7057773127285474,2.170949039385937,3.7899289321830163,2.0286473392728555,4.779900264482471,2.064051173178033,3.4189828176234185
14y15y,14,29,4.173462303292508,3.3141510692365803,2.674438921754911,2.1464114093887416,3.775498739153697,2.0201875158070077,4.766333901500559,2.044010467251274,3.394222917338715
14y16y,14,30,4.146468315169859,3.2839592908202415,2.643243256285144,2.122424427696174,3.761570793174826,2.0132716682098115,4.7532512649993155,2.024693271194839,3.3702660257515262
15y1y,15,16,4.597578393516903,3.7925621682222306,3.0950961624331104,2.5854048150272764,3.9407338217548347,2.0348892791099535,4.814921590745539,2.4753510732565336,3.7467867398212062
15y2y,15,17,4.563476299693882,3.7622393742011164,3.0568094606944216,2.533625540943091,3.9264959659181002,2.0651335387687695,4.813161731037391,2.430934201821402,3.72644095836169
15y3y,15,18,4.527194099706653,3.7275851219563423,3.01855806867608,2.4829488723035418,3.9120964620229417,2.0884919787634937,4.811973912686074,2.385460335910304,3.7028669442000615
15y4y,15,19,4.4892400517521684,3.6886970749847072,2.9805388330685756,2.434397550385681,3.897968812808879,2.10420389030802,4.811913146760436,2.339469462328153,3.675871079799356
15y5y,15,20,4.450122504401581,3.6456726333126848,2.9429487391546263,2.3889951140374155,3.8845465757169046,2.1115085955827895,4.813534415073752,2.293501725634727,3.645259652026688
15y6y,15,21,4.410400095953946,3.5990946280080878,2.9059557172636,2.3473670283910453,3.8720094911419958,2.110471898513594,4.816801450796633,2.2482431655413926,3.61131883115279
15y7y,15,22,4.370791303493249,3.5510921729387817,2.8696348556227305,2.308869284857942,3.8597290750312805,2.1037902766325276,4.8197958377636585,2.204843993503075,3.575862956410008
15y8y,15,23,4.3319870458750245,3.5035248854716183,2.834077542057422,2.2730795854688957,3.847218061552429,2.0936985757305626,4.820928180024698,2.164373737043257,3.540439683215732
15y9y,15,24,4.294635963664293,3.457840110879002,2.799400068068398,2.2399148087373963,3.834205076629226,2.08172765919503,4.819111936179267,2.12777833197889,3.5061887551495885
15y10y,15,25,4.2593657395845685,3.4152794167613583,2.7657312246695285,2.2094615089113834,3.820526683845086,2.069056421452722,4.813511962115237,2.0959420253991974,3.4740460562765527
15y11y,15,26,4.226575689654585,3.376595412381738,2.733118552502928,2.1817047983196622,3.8061606075712766,2.0565792073830633,4.80383374695629,2.0692608859156825,3.4445641691463615
15y12y,15,27,4.19587366905482,3.3411123109305447,2.7012949736201146,2.1559820949975754,3.7914164462797775,2.0447436780426798,4.791321678660415,2.0464676995689883,3.417246770792999
15y13y,15,28,4.166832451946822,3.3080601353285735,2.669983153680634,2.131636166120113,3.776636663933304,2.033915579684711,4.77732657700174,2.0262182346633844,3.391518824390187
